Entity;Code;Year;average_years_of_education;GDP;Population;Continent
Afghanistan;AFG;2020;5.69;1968.341;39068978;
Africa;;2020;6.6818657;;1380821355;
Africa (UN);;2020;;;1380821159;
Albania;ALB;2020;10.32;13278.435;2871951;
Algeria;DZA;2020;8.18;10844.7705;44042093;
American Samoa;ASM;2020;;;49779;
Americas (UN);;2020;;;1024463737;
Andorra;AND;2020;;;77398;
Angola;AGO;2020;;6029.692;33451140;
Anguilla;AIA;2020;;;14864;
Antigua and Barbuda;ATG;2020;;19062.412;91864;
Argentina;ARG;2020;9.86;19694.56;45191960;
Armenia;ARM;2020;10.54;13357.697;2890894;
Aruba;ABW;2020;;29236.047;107411;
Asia;;2020;8.571011;;4686811205;
Asia (UN);;2020;;;4688113349;
Asia (excl. China and India);;2020;;;1788807936;
Australia;AUS;2020;12.93;48651.734;25743787;
Austria;AUT;2020;10.39;51854.75;8921402;
Azerbaijan;AZE;2020;;13726.77;10181736;
Bahamas;BHS;2020;;26132.207;395874;
Bahrain;BHR;2020;8.21;47994.414;1483081;
Bangladesh;BGD;2020;7.23;5591.3735;166298024;
Barbados;BRB;2020;9.67;14003.922;281705;
Belarus;BLR;2020;;19239.553;9350943;
Belgium;BEL;2020;11.57;49030.992;11540103;
Belize;BLZ;2020;10.71;7586.0234;390819;
Benin;BEN;2020;6.27;3186.486;13070170;
Bermuda;BMU;2020;;76117.805;64405;
Bhutan;BTN;2020;;11176.29;770014;
Bolivia;BOL;2020;9.06;7679.933;11816300;
Bonaire Sint Eustatius and Saba;BES;2020;;;26475;
Bosnia and Herzegovina;BIH;2020;;14587.57;3299352;
Botswana;BWA;2020;10.58;13545.048;2365895;
Brazil;BRA;2020;8;14109.764;208660845;
British Virgin Islands;VGB;2020;;;37160;
Brunei;BRN;2020;9.28;61603.55;447412;
Bulgaria;BGR;2020;10.75;22466.918;6933654;
Burkina Faso;BFA;2020;;2089.5679;21478692;
Burundi;BDI;2020;5.05;711.3553;12617042;
Cambodia;KHM;2020;5.81;4276.1846;16725482;
Cameroon;CMR;2020;7.37;3665.5105;26210566;
Canada;CAN;2020;12.93;46193.176;38171901;
Cape Verde;CPV;2020;;6073.3804;514684;
Cayman Islands;CYM;2020;;67530.695;68701;
Central African Republic;CAF;2020;4.64;847.765;5026629;
Chad;TCD;2020;;1489.1868;17224685;
Chile;CHL;2020;10.74;22970.55;19370619;
China;CHN;2020;8.99;16296.609;1426106083;
Colombia;COL;2020;10.2;13358.298;50629997;
Comoros;COM;2020;;3222.374;802172;
Congo;COG;2020;6.74;3748.9326;5752791;
Cook Islands;COK;2020;;;15663;
Costa Rica;CRI;2020;9.12;19778.387;5034323;
Cote d'Ivoire;CIV;2020;6.05;5092.1636;28915452;
Croatia;HRV;2020;12.03;27002.2;3953957;
Cuba;CUB;2020;11.61;;11176349;
Curacao;CUW;2020;;19907.123;185026;
Cyprus;CYP;2020;12.42;39871.87;1302250;
Czechia;CZE;2020;12.93;38639.98;10550130;
Democratic Republic of Congo;COD;2020;4.85;1044.0712;95989999;
Denmark;DNK;2020;11.69;55275.062;5831530;
Djibouti;DJI;2020;;4759.259;1105194;
Dominica;DMA;2020;;10255.859;67589;
Dominican Republic;DOM;2020;9.04;16768.426;11008297;
East Asia and Pacific (WB);;2020;;17601.184;;
East Timor;TLS;2020;;4861.6934;1326051;
Ecuador;ECU;2020;9.07;10356.975;17546058;
Egypt;EGY;2020;8.01;11989.6;109315119;
El Salvador;SLV;2020;8.1;8294.537;6234680;
Equatorial Guinea;GNQ;2020;;15045.528;1716479;
Eritrea;ERI;2020;;;3291277;
Estonia;EST;2020;12.29;35883.266;1329674;
Eswatini;SWZ;2020;6.46;8290.409;1192733;
Ethiopia;ETH;2020;;2253.2358;118917671;
Europe;;2020;11.9022875;;750826495;
Europe (UN);;2020;;;749524039;
Europe (excl. Russia);;2020;;;606921984;
Europe and Central Asia (WB);;2020;;33528.645;;
European Union (27);;2020;;41824.28;447777527;
Falkland Islands;FLK;2020;;;3537;
Faroe Islands;FRO;2020;;;52615;
Fiji;FJI;2020;11.52;10961.847;914970;
Finland;FIN;2020;11.05;47371.22;5529617;
France;FRA;2020;11.89;42344.945;65905273;
French Guiana;GUF;2020;;;289063;
French Polynesia;PYF;2020;;;279219;
Gabon;GAB;2020;10.18;13903.289;2322536;
Gambia;GMB;2020;4.92;2042.6202;2515744;
Georgia;GEO;2020;;13966.326;3795680;
Germany;DEU;2020;13.1;51780.027;83628711;
Ghana;GHA;2020;8.39;5263.5264;31887801;
Gibraltar;GIB;2020;;;36197;
Greece;GRC;2020;11.86;27009.207;10699370;
Greenland;GRL;2020;;;56105;
Grenada;GRD;2020;;13175.521;116353;
Guadeloupe;GLP;2020;;;407400;
Guam;GUM;2020;;;162167;
Guatemala;GTM;2020;6.26;8389.106;17357331;
Guernsey;GGY;2020;;;63128;
Guinea;GIN;2020;;2604.1172;13371187;
Guinea-Bissau;GNB;2020;;1803.6306;2013259;
Guyana;GUY;2020;8.52;18430.602;807487;
Haiti;HTI;2020;5.95;2970.463;11243847;
High-income countries;;2020;;47666.695;1245004614;
Honduras;HND;2020;7.51;5028.145;10119637;
Hong Kong;HKG;2020;12.83;55892.11;7490240;
Hungary;HUN;2020;11.96;31232.102;9749460;
Iceland;ISL;2020;13.53;51684.402;366626;
India;IND;2020;7.8;6172.0425;1402617692;
Indonesia;IDN;2020;9.06;11515.681;274814864;
Iran;IRN;2020;9.8;14432.362;87723446;
Iraq;IRQ;2020;8.27;8848.118;42116604;
Ireland;IRL;2020;13.74;91791.44;4982604;
Isle of Man;IMN;2020;;;84079;
Israel;ISR;2020;12.04;39680.664;8800379;
Italy;ITA;2020;11.51;39093.523;59912763;
Jamaica;JAM;2020;10.1;9206.292;2830746;
Japan;JPN;2020;12.83;40044.508;126304536;
Jersey;JEY;2020;;;103138;
Jordan;JOR;2020;10.81;9231.036;10865231;
Kazakhstan;KAZ;2020;11.79;25361.508;19482117;
Kenya;KEN;2020;6.73;4497.363;52217327;
Kiribati;KIR;2020;;1897.0619;126110;
Kosovo;OWID_KOS;2020;;10706.511;1751415;
Kuwait;KWT;2020;6.62;43922.63;4400146;
Kyrgyzstan;KGZ;2020;11.18;4790.6587;6664142;
Laos;LAO;2020;6.05;7763.9487;7346533;
Latin America and Caribbean (WB);;2020;;14976.215;;
Latin America and the Caribbean (UN);;2020;;;646729386;
Latvia;LVA;2020;11.96;29575.568;1901119;
Lebanon;LBN;2020;;13791.2705;5702401;
Lesotho;LSO;2020;6.88;2225.253;2235727;
Liberia;LBR;2020;5.8;1383.8281;5149471;
Libya;LBY;2020;9.57;15621;7045404;
Liechtenstein;LIE;2020;;;38793;
Lithuania;LTU;2020;12.5;37179.766;2795766;
Low-income countries;;2020;;1937.6377;679560815;
Lower-middle-income countries;;2020;;6541.0605;3141910276;
Luxembourg;LUX;2020;11.53;112274.82;630597;
Macao;MAC;2020;10.97;54916.156;683073;
Madagascar;MDG;2020;;1436.2069;28953560;
Malawi;MWI;2020;5.41;1489.6014;19533886;
Malaysia;MYS;2020;11.96;25852.19;33889555;
Maldives;MDV;2020;8.06;13809.354;502127;
Mali;MLI;2020;3.55;2123.8281;21713839;
Malta;MLT;2020;12.09;41753.812;518213;
Marshall Islands;MHL;2020;;5724.7295;42728;
Martinique;MTQ;2020;;;356625;
Mauritania;MRT;2020;5.55;5236.41;4600135;
Mauritius;MUS;2020;10.4;20231.852;1283230;
Mayotte;MYT;2020;;;284381;
Mexico;MEX;2020;10.18;18639.662;126799052;
Micronesia (country);FSM;2020;;3420.516;110931;
Middle East and North Africa (WB);;2020;;15582.67;;
Middle-income countries;;2020;;11222.781;;
Moldova;MDA;2020;10.84;11848.899;3069135;
Monaco;MCO;2020;;;38074;
Mongolia;MNG;2020;10;11666.779;3290788;
Montenegro;MNE;2020;;18259.084;607936;
Montserrat;MSR;2020;;;4532;
Morocco;MAR;2020;6.83;7546.7163;36584208;
Mozambique;MOZ;2020;4.22;1237.946;30783685;
Myanmar;MMR;2020;6.48;4708.5596;53016525;
Namibia;NAM;2020;6.88;9041.77;2728763;
Nauru;NRU;2020;;10812.89;11665;
Nepal;NPL;2020;6.19;3761.8027;28966582;
Netherlands;NLD;2020;11.82;54275.004;17636732;
New Caledonia;NCL;2020;;;284186;
New Zealand;NZL;2020;10.81;42052.14;5069893;
Nicaragua;NIC;2020;7.76;5230.574;6565267;
Niger;NER;2020;3.04;1214.541;23717614;
Nigeria;NGA;2020;;4865.087;213996186;
Niue;NIU;2020;;;1822;
North America;;2020;11.858304;;598250660;
North America (WB);;2020;;58725.46;;
North Korea;PRK;2020;;;26136313;
North Macedonia;MKD;2020;;15779.787;1872021;
Northern America (UN);;2020;;;377734350;
Northern Mariana Islands;MNP;2020;;;47557;
Norway;NOR;2020;12.08;63776.16;5379274;
Oceania;;2020;10.736105;;44079302;
Oceania (UN);;2020;;;44078974;
Oman;OMN;2020;;33098.21;4522503;
Pakistan;PAK;2020;6.41;5004.352;235001743;
Palau;PLW;2020;;16404.549;17817;
Palestine;PSE;2020;;5402.5386;5069691;
Panama;PAN;2020;10.44;26606.295;4293258;
Papua New Guinea;PNG;2020;4.84;3741.6616;9815741;
Paraguay;PRY;2020;8.83;13317.321;6603742;
Peru;PER;2020;9.96;11187.344;32838576;
Philippines;PHL;2020;9.44;7773.2603;112081271;
Poland;POL;2020;12.01;32546.826;38171005;
Portugal;PRT;2020;9.56;32011.324;10370519;
Puerto Rico;PRI;2020;;32437.965;3275801;
Qatar;QAT;2020;8.52;89019.07;2803373;
Reunion;REU;2020;8.71;;861452;
Romania;ROU;2020;11.28;29057.408;19392469;
Russia;RUS;2020;11.6;26586.555;146371293;
Rwanda;RWA;2020;5.24;2066.4717;13065839;
Saint Barthelemy;BLM;2020;;;10566;
Saint Helena;SHN;2020;;;5451;
Saint Kitts and Nevis;KNA;2020;;26678.33;46896;
Saint Lucia;LCA;2020;;11651.172;178261;
Saint Martin (French part);MAF;2020;;;31811;
Saint Pierre and Miquelon;SPM;2020;;;5852;
Saint Vincent and the Grenadines;VCT;2020;;13690.9;103540;
Samoa;WSM;2020;;6062.4717;211958;
San Marino;SMR;2020;;56364.215;34796;
Sao Tome and Principe;STP;2020;;3507.3613;217449;
Saudi Arabia;SAU;2020;9.86;44770.91;30991205;
Senegal;SEN;2020;4.4;3384.442;16789215;
Serbia;SRB;2020;11.72;18262.799;6907817;
Seychelles;SYC;2020;;26704.926;120299;
Sierra Leone;SLE;2020;4.99;1586.355;7912558;
Singapore;SGP;2020;13.06;94910.1;5620150;
Sint Maarten (Dutch part);SXM;2020;;36991.777;41026;
Slovakia;SVK;2020;13.14;30960.959;5455028;
Slovenia;SVN;2020;12.06;37155.023;2102419;
Solomon Islands;SLB;2020;;2469.1743;744507;
Somalia;SOM;2020;;1456.6559;16651200;
South Africa;ZAF;2020;10.47;12866.569;60562374;
South America;;2020;8.909957;;426213551;
South America (excl. Brazil);;2020;;;219176224;
South Asia (WB);;2020;;5937.8115;;
South Korea;KOR;2020;13.68;42396.76;51858480;
South Sudan;SSD;2020;;;10698470;
Spain;ESP;2020;11.51;36051.418;47679482;
Sri Lanka;LKA;2020;10.33;12939.44;22561807;
Sub-Saharan Africa (WB);;2020;;3665.7354;;
Sudan;SDN;2020;4.38;3874.8003;46789237;
Suriname;SUR;2020;;15328.997;612322;
Svalbard and Jan Mayen;SJM;2020;;;2400;
Sweden;SWE;2020;11.93;51331.28;10353680;
Switzerland;CHE;2020;12.97;67928.195;8640582;
Syria;SYR;2020;7.92;;21049428;
Taiwan;TWN;2020;12.76;;23663460;
Tajikistan;TJK;2020;10.12;3651.9426;9749310;
Tanzania;TZA;2020;6.87;2552.5469;60972801;
Thailand;THA;2020;9.32;16865.549;71641484;
Togo;TGO;2020;7.68;2058.565;8669722;
Tokelau;TKL;2020;;;2152;
Tonga;TON;2020;11.42;6357.07;105719;
Trinidad and Tobago;TTO;2020;11.28;23392.992;1481026;
Tunisia;TUN;2020;9.29;10040.124;11974058;
Turkey;TUR;2020;8.49;28726.191;86091691;
Turkmenistan;TKM;2020;;14269.641;6949915;
Turks and Caicos Islands;TCA;2020;;18474.865;44404;
Tuvalu;TUV;2020;;4577.966;10423;
Uganda;UGA;2020;6.69;2240.4902;44457149;
Ukraine;UKR;2020;10.82;12407.79;44680009;
United Arab Emirates;ARE;2020;9.57;67668.29;9448529;
United Kingdom;GBR;2020;12.9;41895.824;67351860;
United States;USA;2020;13.32;60158.91;339436157;
United States Virgin Islands;VIR;2020;;;87724;
Upper-middle-income countries;;2020;;16490.66;2817793595;
Uruguay;URY;2020;8.76;22073.375;3398967;
Uzbekistan;UZB;2020;;7407.7275;33586372;
Vanuatu;VUT;2020;;2848.9702;298868;
Vatican;VAT;2020;;;536;
Venezuela;VEN;2020;9.33;;28444078;
Vietnam;VNM;2020;8.35;10450.621;98079196;
Wallis and Futuna;WLF;2020;;;11640;
Western Sahara;ESH;2020;;;549372;
World;OWID_WRL;2020;8.840671;16213.376;7887001284;
Yemen;YEM;2020;5.56;;36134868;
Zambia;ZMB;2020;8.37;3183.651;19059395;
Zimbabwe;ZWE;2020;8.32;1990.3195;15526888;
